Genius,KenPom,HDI,HDIW,Conf,URL,URLW
A&M-Corpus Christi,Texas A&M Corpus Chris,TCC,TCCW,Southland,https://goislanders.com/sports/mens-basketball/roster/{season_42},https://goislanders.com/sports/womens-basketball/roster/{season_42}
Abilene Christian,Abilene Christian,ACU,ACUW,WAC,https://acusports.com/sports/mens-basketball/roster/{season_42},https://acusports.com/sports/womens-basketball/roster/{season_42}
Air Force,Air Force,AFA,AFAW,MWC,https://goairforcefalcons.com/sports/mens-basketball/roster/{season_42},https://goairforcefalcons.com/sports/womens-basketball/roster/{season_42}
Akron,Akron,AKR,AKRW,MAC,https://gozips.com/sports/mens-basketball/roster/{season_42},https://gozips.com/sports/womens-basketball/roster/{season_42}
Alabama,Alabama,ALA,ALAW,SEC,https://rolltide.com/sports/mens-basketball/roster/{season_42},https://rolltide.com/sports/womens-basketball/roster/{season_42}
Alabama A&M,Alabama A&M,AAM,AAMW,SWAC,https://aamusports.com/sports/mens-basketball/roster/{season_42},https://aamusports.com/sports/womens-basketball/roster/{season_42}
Alabama St.,Alabama St.,ALS,ALSW,SWAC,https://bamastatesports.com/sports/mens-basketball/roster/{season_42},https://bamastatesports.com/sports/womens-basketball/roster/{season_42}
Alcorn,Alcorn St.,ALC,ALCW,SWAC,https://alcornsports.com/sports/mens-basketball/roster/{season_42},https://alcornsports.com/sports/womens-basketball/roster/{season_42}
American,American,AMR,AMRW,Patriot League,https://aueagles.com/sports/mens-basketball/roster/{season_42},https://aueagles.com/sports/womens-basketball/roster/{season_42}
App State,Appalachian St.,APS,APSW,Sun Belt,https://appstatesports.com/sports/mens-basketball/roster/{season_42},https://appstatesports.com/sports/womens-basketball/roster/{season_42}
Arizona,Arizona,ARZ,ARZW,Big 12,https://arizonawildcats.com/sports/mens-basketball/roster/{season_42},https://arizonawildcats.com/sports/womens-basketball/roster/{season_42}
Arizona St.,Arizona St.,AZS,AZSW,Big 12,https://thesundevils.com/sports/mens-basketball/roster/season/{season_42},https://thesundevils.com/sports/womens-basketball/roster/season/{season_42}
Ark.-Pine Bluff,Arkansas Pine Bluff,APB,APBW,SWAC,https://uapblionsroar.com/sports/mens-basketball/roster/{season_42},https://uapblionsroar.com/sports/womens-basketball/roster/{season_42}
Arkansas,Arkansas,ARK,ARKW,SEC,https://arkansasrazorbacks.com/sport/m-baskbl/roster/?season={season_42},https://arkansasrazorbacks.com/sport/w-baskbl/roster/?season={season_42}
Arkansas St.,Arkansas St.,ARS,ARSW,Sun Belt,https://astateredwolves.com/sports/mens-basketball/roster/{season_42},https://astateredwolves.com/sports/womens-basketball/roster/{season_42}
Army West Point,Army,AMY,AMYW,Patriot League,https://goarmywestpoint.com/sports/mens-basketball/roster/{season_42},https://goarmywestpoint.com/sports/womens-basketball/roster/{season_42}
Auburn,Auburn,AUB,AUBW,SEC,https://auburntigers.com/sports/mens-basketball/roster/season/{season_42},https://auburntigers.com/sports/womens-basketball/roster/season/{season_42}
Austin Peay,Austin Peay,APY,APYW,ASUN,https://letsgopeay.com/sports/mens-basketball/roster/{season_42},https://letsgopeay.com/sports/womens-basketball/roster/{season_42}
Ball St.,Ball St.,BLS,BLSW,MAC,https://ballstatesports.com/sports/mens-basketball/roster/{season_42},https://ballstatesports.com/sports/womens-basketball/roster/{season_42}
Baylor,Baylor,BAY,BAYW,Big 12,https://baylorbears.com/sports/mens-basketball/roster/{season_42},https://baylorbears.com/sports/womens-basketball/roster/{season_42}
Bellarmine,Bellarmine,BMN,BMNW,ASUN,https://athletics.bellarmine.edu/sports/mens-basketball/roster/{season_42},https://athletics.bellarmine.edu/sports/womens-basketball/roster/{season_42}
Belmont,Belmont,BMT,BMTW,Missouri Valley,https://belmontbruins.com/sports/mens-basketball/roster/{season_42},https://belmontbruins.com/sports/womens-basketball/roster/{season_42}
Bethune-Cookman,Bethune Cookman,BEC,BECW,SWAC,https://bcuathletics.com/sports/mens-basketball/roster/{season_42},https://bcuathletics.com/sports/womens-basketball/roster/{season_42}
Binghamton,Binghamton,BTN,BTNW,America East,https://binghamtonbearcats.com/sports/mens-basketball/roster/{season_42},https://binghamtonbearcats.com/sports/womens-basketball/roster/{season_42}
Boise St.,Boise St.,BSU,BSUW,MWC,https://broncosports.com/sports/mens-basketball/roster/{season_42},https://broncosports.com/sports/womens-basketball/roster/{season_42}
Boston College,Boston College,BOC,BOCW,ACC,https://bceagles.com/sports/mens-basketball/roster/{season_42},https://bceagles.com/sports/womens-basketball/roster/{season_42}
Boston U.,Boston University,BOU,BOUW,Patriot League,https://goterriers.com/sports/mens-basketball/roster/{season_42},https://goterriers.com/sports/womens-basketball/roster/{season_42}
Bowling Green,Bowling Green,BGR,BGRW,MAC,https://bgsufalcons.com/sports/mens-basketball/roster/{season_42},https://bgsufalcons.com/sports/womens-basketball/roster/{season_42}
Bradley,Bradley,BRD,BRDW,Missouri Valley,https://bradleybraves.com/sports/mens-basketball/roster/{season_42},https://bradleybraves.com/sports/womens-basketball/roster/{season_42}
Brown,Brown,BRN,BRNW,Ivy League,https://brownbears.com/sports/mens-basketball/roster/{season_42},https://brownbears.com/sports/womens-basketball/roster/{season_42}
Bryant,Bryant,BRY,BRYW,America East,https://bryantbulldogs.com/sports/mens-basketball/roster/{season_42},https://bryantbulldogs.com/sports/womens-basketball/roster/{season_42}
Bucknell,Bucknell,BNL,BNLW,Patriot League,https://bucknellbison.com/sports/mens-basketball/roster/{season_42},https://bucknellbison.com/sports/womens-basketball/roster/{season_42}
Buffalo,Buffalo,BUF,BUFW,MAC,https://ubbulls.com/sports/mens-basketball/roster/{season_42},https://ubbulls.com/sports/womens-basketball/roster/{season_42}
Butler,Butler,BUT,BUTW,Big East,https://butlersports.com/sports/mens-basketball/roster/{season_42},https://butlersports.com/sports/womens-basketball/roster/{season_42}
BYU,BYU,BYU,BYUW,Big 12,https://byucougars.com/sports/mens-basketball/roster/season/{season_44},https://byucougars.com/sports/womens-basketball/roster/season/{season_44}
Cal Poly,Cal Poly,CAP,CAPW,Big West,https://gopoly.com/sports/mens-basketball/roster/{season_42},https://gopoly.com/sports/womens-basketball/roster/{season_42}
